disease	dataset	gwas_n	model	study
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Adipose_Subcutaneous
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Adipose_Visceral_Omentum
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Adrenal_Gland
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Artery_Aorta
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Artery_Coronary
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Artery_Tibial
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Amygdala
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Anterior_cingulate_cortex_BA24
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Caudate_basal_ganglia
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Cerebellar_Hemisphere
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Cerebellum
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Cortex
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Frontal_Cortex_BA9
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Hippocampus
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Hypothalamus
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Nucleus_accumbens_basal_ganglia
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Putamen_basal_ganglia
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Spinal_cord_cervical_c-1
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Substantia_nigra
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Breast_Mammary_Tissue
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Cells_Cultured_fibroblasts
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Cells_EBV-transformed_lymphocytes
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Colon_Sigmoid
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Colon_Transverse
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Esophagus_Gastroesophageal_Junction
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Esophagus_Mucosa
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Esophagus_Muscularis
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Heart_Atrial_Appendage
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Heart_Left_Ventricle
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Kidney_Cortex
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Liver
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Lung
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Minor_Salivary_Gland
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Muscle_Skeletal
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Nerve_Tibial
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Ovary
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Pancreas
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Pituitary
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Prostate
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Skin_Not_Sun_Exposed_Suprapubic
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Skin_Sun_Exposed_Lower_leg
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Small_Intestine_Terminal_Ileum
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Spleen
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Stomach
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Testis
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Thyroid
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Uterus
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Vagina
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Whole_Blood
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Adipose_Subcutaneous
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Adipose_Visceral_Omentum
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Adrenal_Gland
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Artery_Aorta
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Artery_Coronary
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Artery_Tibial
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Amygdala
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Anterior_cingulate_cortex_BA24
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Caudate_basal_ganglia
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Cerebellar_Hemisphere
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Cerebellum
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Cortex
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Frontal_Cortex_BA9
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Hippocampus
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Hypothalamus
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Nucleus_accumbens_basal_ganglia
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Putamen_basal_ganglia
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Spinal_cord_cervical_c-1
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Brain_Substantia_nigra
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Breast_Mammary_Tissue
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Cells_Cultured_fibroblasts
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Cells_EBV-transformed_lymphocytes
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Colon_Sigmoid
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Colon_Transverse
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Esophagus_Gastroesophageal_Junction
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Esophagus_Mucosa
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Esophagus_Muscularis
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Heart_Atrial_Appendage
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Heart_Left_Ventricle
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Kidney_Cortex
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Liver
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Lung
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Minor_Salivary_Gland
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Muscle_Skeletal
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Nerve_Tibial
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Ovary
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Pancreas
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Pituitary
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Prostate
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Skin_Not_Sun_Exposed_Suprapubic
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Skin_Sun_Exposed_Lower_leg
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Small_Intestine_Terminal_Ileum
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Spleen
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Stomach
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Testis
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Thyroid
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Uterus
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Vagina
LDL	ukb-d-30780_irnt	343621	predixcan_mashr_eqtl	mashr_Whole_Blood
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Adipose_Subcutaneous
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Adipose_Visceral_Omentum
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Adrenal_Gland
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Artery_Aorta
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Artery_Coronary
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Artery_Tibial
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Amygdala
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Anterior_cingulate_cortex_BA24
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Caudate_basal_ganglia
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Cerebellar_Hemisphere
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Cerebellum
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Cortex
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Frontal_Cortex_BA9
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Hippocampus
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Hypothalamus
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Nucleus_accumbens_basal_ganglia
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Putamen_basal_ganglia
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Spinal_cord_cervical_c-1
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Brain_Substantia_nigra
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Breast_Mammary_Tissue
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Cells_Cultured_fibroblasts
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Cells_EBV-transformed_lymphocytes
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Colon_Sigmoid
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Colon_Transverse
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Esophagus_Gastroesophageal_Junction
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Esophagus_Mucosa
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Esophagus_Muscularis
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Heart_Atrial_Appendage
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Heart_Left_Ventricle
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Kidney_Cortex
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Liver
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Lung
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Minor_Salivary_Gland
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Muscle_Skeletal
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Nerve_Tibial
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Ovary
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Pancreas
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Pituitary
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Prostate
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Skin_Not_Sun_Exposed_Suprapubic
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Skin_Sun_Exposed_Lower_leg
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Small_Intestine_Terminal_Ileum
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Spleen
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Stomach
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Testis
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Thyroid
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Uterus
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Vagina
SBP	ukb-a-360	317754	predixcan_mashr_eqtl	mashr_Whole_Blood
